episodes_,mean_,max_,min_
20.0,28.2,35.0,23.0
40.0,25.4,27.0,24.0
60.0,25.0,30.0,22.0
80.0,26.6,32.0,19.0
100.0,25.0,27.0,23.0
120.0,32.2,46.0,24.0
140.0,27.8,44.0,22.0
160.0,28.2,43.0,17.0
180.0,26.2,30.0,22.0
200.0,26.4,32.0,17.0
220.0,28.8,39.0,21.0
240.0,33.8,57.0,22.0
260.0,26.4,36.0,22.0
280.0,32.8,38.0,29.0
300.0,31.8,35.0,27.0
320.0,31.4,45.0,23.0
340.0,27.2,30.0,26.0
360.0,29.8,37.0,23.0
380.0,28.6,36.0,25.0
400.0,36.6,74.0,23.0
420.0,33.8,42.0,29.0
440.0,34.4,46.0,28.0
460.0,44.2,65.0,30.0
480.0,34.6,44.0,29.0
500.0,30.6,38.0,17.0
520.0,40.4,67.0,31.0
540.0,33.6,37.0,29.0
560.0,38.6,69.0,29.0
580.0,35.2,49.0,21.0
600.0,44.8,78.0,28.0
620.0,39.0,53.0,27.0
640.0,41.0,55.0,34.0
660.0,38.0,51.0,30.0
680.0,39.6,50.0,30.0
700.0,42.4,63.0,32.0
720.0,59.6,88.0,34.0
740.0,41.0,64.0,32.0
760.0,54.6,94.0,30.0
780.0,56.4,87.0,35.0
800.0,52.6,87.0,31.0
820.0,81.0,119.0,35.0
840.0,79.6,152.0,34.0
860.0,67.8,89.0,52.0
880.0,87.8,107.0,64.0
900.0,72.0,147.0,34.0
920.0,93.8,167.0,47.0
940.0,72.8,101.0,60.0
960.0,96.2,169.0,39.0
980.0,78.8,104.0,46.0
1000.0,117.4,181.0,44.0
1020.0,109.8,195.0,59.0
1040.0,89.2,122.0,67.0
1060.0,66.4,105.0,50.0
1080.0,147.8,204.0,93.0
1100.0,112.2,193.0,51.0
1120.0,145.2,272.0,43.0
1140.0,137.0,197.0,69.0
1160.0,170.4,235.0,110.0
1180.0,147.2,185.0,81.0
1200.0,175.2,271.0,89.0
1220.0,237.4,388.0,97.0
1240.0,228.0,322.0,79.0
1260.0,289.2,549.0,104.0
1280.0,290.4,658.0,171.0
1300.0,332.0,473.0,183.0
1320.0,469.2,671.0,210.0
1340.0,335.4,587.0,109.0
1360.0,381.4,597.0,199.0
1380.0,356.8,473.0,208.0
1400.0,583.2,1246.0,273.0
1420.0,498.0,661.0,336.0
1440.0,587.6,842.0,434.0
1460.0,610.0,1124.0,400.0
1480.0,654.0,1186.0,425.0
1500.0,911.4,1172.0,638.0
1520.0,1084.4,2660.0,250.0
1540.0,787.6,1486.0,504.0
