episodes_,mean_,max_,min_
20.0,27.6,31.0,24.0
40.0,26.2,29.0,21.0
60.0,28.4,34.0,22.0
80.0,26.2,32.0,23.0
100.0,27.0,33.0,21.0
120.0,24.4,28.0,17.0
140.0,24.2,30.0,17.0
160.0,25.0,30.0,23.0
180.0,24.6,27.0,23.0
200.0,24.0,34.0,19.0
220.0,25.6,30.0,19.0
240.0,27.0,30.0,22.0
260.0,24.4,29.0,20.0
280.0,25.2,26.0,24.0
300.0,24.4,31.0,20.0
320.0,23.0,29.0,16.0
340.0,21.8,25.0,18.0
360.0,23.4,29.0,20.0
380.0,19.6,23.0,15.0
400.0,23.8,26.0,21.0
420.0,26.6,31.0,23.0
440.0,18.4,21.0,14.0
460.0,22.8,26.0,17.0
480.0,22.0,23.0,20.0
500.0,22.6,25.0,20.0
520.0,18.4,21.0,16.0
540.0,21.8,26.0,19.0
560.0,21.2,24.0,17.0
580.0,19.8,22.0,17.0
600.0,23.8,28.0,22.0
620.0,20.6,27.0,17.0
640.0,20.8,24.0,16.0
660.0,19.6,22.0,17.0
680.0,22.4,24.0,20.0
700.0,23.6,26.0,20.0
720.0,19.6,23.0,16.0
740.0,19.2,21.0,15.0
760.0,22.0,23.0,20.0
780.0,20.0,22.0,18.0
800.0,22.0,25.0,20.0
820.0,20.8,26.0,17.0
840.0,20.6,23.0,19.0
860.0,20.8,23.0,17.0
880.0,18.2,20.0,16.0
900.0,19.6,24.0,13.0
920.0,19.4,23.0,16.0
940.0,21.4,23.0,19.0
960.0,22.0,26.0,20.0
980.0,21.0,26.0,18.0
1000.0,19.4,23.0,16.0
1020.0,19.0,22.0,16.0
1040.0,17.4,20.0,15.0
1060.0,18.8,20.0,17.0
1080.0,19.6,21.0,19.0
